type,name,module,line,snippet
function-declaration,meleeAttack,32-cooperative-missions.js,5461,
function-declaration,damageEnemy,32-cooperative-missions.js,5466,
function-declaration,firePower,32-cooperative-missions.js,5470,
function-declaration,updateFireballs,32-cooperative-missions.js,5476,
function-declaration,updateCamera,32-cooperative-missions.js,5480,
function-declaration,nearestInteractable,32-cooperative-missions.js,5514,
function-declaration,updateContext,32-cooperative-missions.js,5532,
function-declaration,doAction,32-cooperative-missions.js,5536,
function-declaration,updateNeeds,32-cooperative-missions.js,5549,
function-declaration,multiplayerGameLabel,32-cooperative-missions.js,5557,
function-declaration,guardianMultiplayerAllowed,32-cooperative-missions.js,5558,
function-declaration,guardianCommunicationAllowed,32-cooperative-missions.js,5559,
function-declaration,publicPlayerName,32-cooperative-missions.js,5560,
function-declaration,remotePlayerName,32-cooperative-missions.js,5564,
function-declaration,sanitizeRemoteSession,32-cooperative-missions.js,5567,
function-declaration,pendingChallenges,32-cooperative-missions.js,5572,
function-declaration,readyGameSessions,32-cooperative-missions.js,5573,
function-declaration,closeChallengePrompt,32-cooperative-missions.js,5574,
function-declaration,showIncomingChallengePrompt,32-cooperative-missions.js,5575,
function-declaration,showReadySessionPrompt,32-cooperative-missions.js,5576,
function-declaration,socialActionLabel,32-cooperative-missions.js,5578,
function-declaration,socialRequestPending,32-cooperative-missions.js,5579,
function-declaration,showIncomingSocialRequest,32-cooperative-missions.js,5580,
function-declaration,applyAcceptedSocialAction,32-cooperative-missions.js,5593,
function-declaration,updateOnlineAttention,32-cooperative-missions.js,5611,
function-declaration,challengeInboxHtml,32-cooperative-missions.js,5612,
function-declaration,socialRequestInboxHtml,32-cooperative-missions.js,5613,
function-declaration,completedGameSessions,32-cooperative-missions.js,5614,
function-declaration,rememberMatchResult,32-cooperative-missions.js,5615,
function-declaration,duelHistoryHtml,32-cooperative-missions.js,5616,
function-declaration,activeSessionsHtml,32-cooperative-missions.js,5617,
function-declaration,bindChallengeCards,32-cooperative-missions.js,5618,
function-declaration,highestUnlockedLevel,32-cooperative-missions.js,5621,
function-declaration,openChallengePicker,32-cooperative-missions.js,5622,
function-declaration,sessionOpponentName,32-cooperative-missions.js,5623,
function-declaration,startMultiplayerEducationGame,32-cooperative-missions.js,5624,
function-declaration,maybeShowMultiplayerResult,32-cooperative-missions.js,5625,
function-declaration,currentOnlineRoom,32-cooperative-missions.js,5626,
function-declaration,multiplayerStatusText,32-cooperative-missions.js,5627,
function-declaration,updateMultiplayerBadge,32-cooperative-missions.js,5628,
function-declaration,onlinePlayers,32-cooperative-missions.js,5629,
function-declaration,onlinePlayerListHtml,32-cooperative-missions.js,5630,
function-declaration,bindOnlinePlayerCards,32-cooperative-missions.js,5631,
function-declaration,refreshOpenSocialHub,32-cooperative-missions.js,5632,
function-declaration,approvedChatPhrases,32-cooperative-missions.js,5633,
function-declaration,openSocialHub,32-cooperative-missions.js,5634,
function-declaration,escapeHtml,32-cooperative-missions.js,5645,
function-declaration,chatMessageHtml,32-cooperative-missions.js,5646,
function-declaration,openReportPlayer,32-cooperative-missions.js,5647,
function-declaration,openRemotePlayerActions,32-cooperative-missions.js,5654,
function-declaration,nearestRemotePlayer,32-cooperative-missions.js,5674,
function-declaration,openMultiplayerConfig,32-cooperative-missions.js,5675,
function-declaration,applyCloudWorldObjects,32-cooperative-missions.js,5676,
function-declaration,remotePlayerEvent,33-otthi-world-professional-core.js,5683,
function-declaration,initLocalMultiplayer,33-otthi-world-professional-core.js,5722,
function-declaration,sanitizeMultiplayerAvatar,33-otthi-world-professional-core.js,5727,
function-declaration,multiplayerAvatarDescriptor,33-otthi-world-professional-core.js,5733,
function-declaration,multiplayerAvatarSignature,33-otthi-world-professional-core.js,5734,
function-declaration,avatarHex,33-otthi-world-professional-core.js,5735,
function-declaration,avatarIdIncludes,33-otthi-world-professional-core.js,5736,
function-declaration,avatarSkinHex,33-otthi-world-professional-core.js,5737,
function-declaration,multiplayerAvatarPrimaryColor,33-otthi-world-professional-core.js,5738,
function-declaration,disposeGhostAvatar,33-otthi-world-professional-core.js,5739,
function-declaration,ghostSphere,33-otthi-world-professional-core.js,5740,
function-declaration,addGhostFace,33-otthi-world-professional-core.js,5741,
